,Unnamed: 0,coordinates,date,location,place,tweet,tweet_ID,username,lowercase,punctuation,stopwords,lemmatize,polarity
115,13.0,,2020-01-01 23:00:09,Badajoz 📍 Barcelona,,"@EliCoumas @AlvaroLMMordida Brutal! A disfrutarlo :) pero cámbiale el nombre, que no es un MacBook xD",1.212508839695782e+18,chicageek,"@elicoumas @alvarolmmordida brutal! a disfrutarlo :) pero cámbiale el nombre, que no es un macbook xd",elicoumas alvarolmmordida brutal a disfrutarlo  pero cámbiale el nombre que no es un macbook xd,elicoumas alvarolmmordida brutal disfrutarlo pero cámbiale el nombre que es un macbook xd,elicoumas alvarolmmordida brutal disfrutarlo pero cámbiale el nombre que e un macbook xd,-0.875
687,13.0,,2020-01-01 23:00:09,Badajoz 📍 Barcelona,,"@EliCoumas @AlvaroLMMordida Brutal! A disfrutarlo :) pero cámbiale el nombre, que no es un MacBook xD",1.212508839695782e+18,chicageek,"@elicoumas @alvarolmmordida brutal! a disfrutarlo :) pero cámbiale el nombre, que no es un macbook xd",elicoumas alvarolmmordida brutal a disfrutarlo  pero cámbiale el nombre que no es un macbook xd,elicoumas alvarolmmordida brutal disfrutarlo pero cámbiale el nombre que es un macbook xd,elicoumas alvarolmmordida brutal disfrutarlo pero cámbiale el nombre que e un macbook xd,-0.875
957,28.0,,2020-01-01 20:17:26,Liverpool,,I did try to do some work but my MacBook is so bad at uni systems 😶,1.2124678893091758e+18,birrrrd,i did try to do some work but my macbook is so bad at uni systems 😶,i did try to do some work but my macbook is so bad at uni systems ,try work macbook bad uni systems,try work macbook bad uni system,-0.6999999999999998
385,28.0,,2020-01-01 20:17:26,Liverpool,,I did try to do some work but my MacBook is so bad at uni systems 😶,1.2124678893091758e+18,birrrrd,i did try to do some work but my macbook is so bad at uni systems 😶,i did try to do some work but my macbook is so bad at uni systems ,try work macbook bad uni systems,try work macbook bad uni system,-0.6999999999999998
758,33.0,,2020-01-01 22:04:21,"Grand Forks, ND",,This MacBook and AirPods need to fucking c’mon tho,1.2124947956560445e+18,Caleb_Aba,this macbook and airpods need to fucking c’mon tho,this macbook and airpods need to fucking cmon tho,macbook airpods need fucking cmon tho,macbook airpods need fucking cmon tho,-0.6
186,33.0,,2020-01-01 22:04:21,"Grand Forks, ND",,This MacBook and AirPods need to fucking c’mon tho,1.2124947956560445e+18,Caleb_Aba,this macbook and airpods need to fucking c’mon tho,this macbook and airpods need to fucking cmon tho,macbook airpods need fucking cmon tho,macbook airpods need fucking cmon tho,-0.6
1328,42.0,,2020-01-01 17:04:24,Home of sexuals,,Opa koopt een fucking macbook om puzzels te maken 🙃🙃 https://t.co/BY4iLLsnQv,1.212419312256004e+18,brampeeters69,opa koopt een fucking macbook om puzzels te maken 🙃🙃 https://t.co/by4illsnqv,opa koopt een fucking macbook om puzzels te maken  httpstcoby4illsnqv,opa koopt een fucking macbook om puzzels te maken httpstcoby4illsnqv,opa koopt een fucking macbook om puzzels te maken httpstcoby4illsnqv,-0.6
386,29.0,,2020-01-01 20:04:57,Hoffentlich bald woanders ,,"„Bad North“ sieht als Spiel echt simpel aus. Es fickt das MacBook Air aber komplett. Absolut unspielbar.  Wtf. 
Schade.",1.212464750573052e+18,Metfass,„bad north“ sieht als spiel echt simpel aus. es fickt das macbook air aber komplett. absolut unspielbar. wtf. schade.,bad north sieht als spiel echt simpel aus es fickt das macbook air aber komplett absolut unspielbar wtf schade,bad north sieht als spiel echt simpel aus es fickt das macbook air aber komplett absolut unspielbar wtf schade,bad north sieht al spiel echt simpel au e fickt da macbook air aber komplett absolut unspielbar wtf schade,-0.5999999999999999
958,29.0,,2020-01-01 20:04:57,Hoffentlich bald woanders ,,"„Bad North“ sieht als Spiel echt simpel aus. Es fickt das MacBook Air aber komplett. Absolut unspielbar.  Wtf. 
Schade.",1.212464750573052e+18,Metfass,„bad north“ sieht als spiel echt simpel aus. es fickt das macbook air aber komplett. absolut unspielbar. wtf. schade.,bad north sieht als spiel echt simpel aus es fickt das macbook air aber komplett absolut unspielbar wtf schade,bad north sieht als spiel echt simpel aus es fickt das macbook air aber komplett absolut unspielbar wtf schade,bad north sieht al spiel echt simpel au e fickt da macbook air aber komplett absolut unspielbar wtf schade,-0.5999999999999999
903,25.0,,2020-01-01 20:32:29,,,"@FaZeSway Hi sway I'm sad my mom bought my sister a macbook pro it was $1,000 she bought me a laptop was $200 and I wanted a gaming pc",1.2124716805825044e+18,Cody27743342,"@fazesway hi sway i'm sad my mom bought my sister a macbook pro it was $1,000 she bought me a laptop was $200 and i wanted a gaming pc",fazesway hi sway im sad my mom bought my sister a macbook pro it was 1000 she bought me a laptop was 200 and i wanted a gaming pc,fazesway hi sway im sad mom bought sister macbook pro 1000 bought laptop 200 wanted gaming pc,fazesway hi sway im sad mom bought sister macbook pro 1000 bought laptop 200 wanted gaming pc,-0.5
